Date,Open,High,Low,Close,Volume
2025-10-12,98.35,99.59,97.63,98.98,9935
2025-10-13,97.4,98.63,96.94,97.94,4582
2025-10-14,96.61,98.2,96.05,97.37,7873
2025-10-15,97.96,99.34,97.18,98.56,1106
2025-10-16,97.12,98.45,96.74,97.82,6514
2025-10-17,95.64,96.84,95.04,96.17,6635
2025-10-18,92.52,94.04,91.94,93.32,7201
2025-10-19,90.55,91.62,89.84,91.04,6925
2025-10-20,87.96,88.97,87.41,88.42,2307
2025-10-21,85.94,87.56,85.72,86.75,8428
2025-10-22,84.65,85.75,84.27,85.24,2169
2025-10-23,82.97,84.13,82.5,83.64,3677
2025-10-24,81.21,82.69,81.09,82.0,6313
2025-10-25,80.82,82.3,80.67,81.58,1525
2025-10-26,80.91,82.12,80.3,81.34,6155
2025-10-27,79.05,80.13,78.38,79.53,8517
2025-10-28,78.61,79.91,78.21,79.3,8019
2025-10-29,78.43,79.73,78.3,79.18,3266
2025-10-30,77.62,78.46,77.0,78.03,7916
2025-10-31,76.75,77.91,76.37,77.37,8668
2025-11-01,73.03,74.09,72.71,73.71,9797
2025-11-02,71.95,73.23,71.74,72.59,5808
2025-11-03,70.22,71.58,70.11,70.91,9201
2025-11-04,70.19,71.34,70.06,70.81,5889
2025-11-05,70.51,71.42,70.16,70.93,9689
2025-11-06,68.64,69.86,68.44,69.3,2832
2025-11-07,70.03,71.14,69.95,70.67,2290
2025-11-08,68.79,69.68,68.45,69.17,9727
2025-11-09,68.16,69.2,67.89,68.67,7932
2025-11-10,66.92,68.24,66.65,67.58,4295
2025-11-11,66.25,67.27,65.84,66.81,8397
2025-11-12,64.92,65.69,64.53,65.29,4770
2025-11-13,64.11,65.01,64.0,64.67,1514
2025-11-14,63.49,64.43,63.37,64.09,8953
2025-11-15,63.07,64.19,62.9,63.69,8749
2025-11-16,63.1,64.06,63.01,63.68,8062
2025-11-17,61.98,62.9,61.74,62.57,2612
2025-11-18,62.5,63.38,61.95,62.83,2790
2025-11-19,61.88,62.78,61.63,62.34,5092
2025-11-20,61.86,62.78,61.57,62.44,2604
2025-11-21,64.73,65.97,64.37,65.33,4872
2025-11-22,65.59,66.46,65.24,65.97,7570
2025-11-23,65.6,66.39,64.97,65.93,8454
2025-11-24,64.64,65.61,64.17,65.06,8973
2025-11-25,64.36,65.52,64.18,65.0,6138
2025-11-26,64.81,65.67,64.34,65.16,9701
2025-11-27,65.65,66.4,65.15,66.0,4853
2025-11-28,67.11,68.24,66.71,67.58,1651
2025-11-29,65.74,66.77,65.3,66.27,4346
2025-11-30,64.49,65.46,64.29,65.03,3144
2025-12-01,63.7,64.68,63.46,64.12,8508
2025-12-02,62.38,63.38,62.23,62.89,9808
2025-12-03,61.95,63.15,61.66,62.56,7054
2025-12-04,62.37,63.23,61.98,62.78,5956
2025-12-05,59.65,60.45,59.3,60.15,5905
2025-12-06,57.39,58.27,57.11,57.95,5333
2025-12-07,57.35,58.16,57.04,57.79,6617
2025-12-08,57.26,58.08,56.95,57.61,9004
2025-12-09,56.83,57.6,56.32,57.13,1722
2025-12-10,58.25,59.07,57.78,58.55,5291
2025-12-11,58.08,59.04,57.96,58.58,3442
2025-12-12,58.46,59.46,58.16,58.92,3426
2025-12-13,57.81,58.77,57.35,58.21,1653
2025-12-14,57.31,58.21,57.2,57.85,2684
2025-12-15,56.19,57.28,55.94,56.72,4878
2025-12-16,56.6,57.7,56.33,57.13,7755
2025-12-17,57.67,58.62,57.24,58.06,5065
2025-12-18,57.45,58.33,57.2,57.81,1634
2025-12-19,57.21,58.16,57.07,57.74,4728
2025-12-20,56.45,57.27,56.12,56.8,5564
2025-12-21,57.44,58.28,57.12,57.81,9785
2025-12-22,55.27,55.93,54.84,55.64,5279
2025-12-23,55.77,56.44,55.44,56.13,6139
2025-12-24,57.21,58.19,57.01,57.62,4114
2025-12-25,56.83,57.67,56.39,57.12,4228
2025-12-26,57.61,58.32,57.24,58.01,6409
2025-12-27,56.31,57.16,55.92,56.63,7691
2025-12-28,54.93,55.77,54.59,55.3,4143
2025-12-29,52.68,53.63,52.43,53.13,5930
2025-12-30,53.23,54.1,52.99,53.61,4443
2025-12-31,51.79,52.6,51.58,52.22,4501
2026-01-01,51.85,52.71,51.47,52.24,3780
2026-01-02,51.05,51.89,50.94,51.48,4848
2026-01-03,50.11,50.85,49.98,50.54,1400
2026-01-04,51.8,52.68,51.58,52.22,4185
2026-01-05,52.0,52.81,51.82,52.45,3417
2026-01-06,51.53,52.44,51.43,51.98,7965
2026-01-07,51.18,51.96,50.8,51.5,8611
2026-01-08,51.16,52.02,50.92,51.64,9702
2026-01-09,50.9,51.82,50.65,51.41,8251
2026-01-10,49.69,50.52,49.43,50.06,3607
2026-01-11,48.46,49.25,48.33,48.88,5050
2026-01-12,48.38,49.17,48.26,48.81,8206
2026-01-13,47.66,48.23,47.38,47.92,6238
2026-01-14,47.49,48.1,47.25,47.77,4505
2026-01-15,46.95,47.54,46.6,47.2,7812
2026-01-16,47.73,48.49,47.36,48.06,1320
2026-01-17,47.75,48.62,47.63,48.2,1096
2026-01-18,48.05,48.84,47.7,48.38,9818
2026-01-19,47.36,48.15,47.16,47.78,4613
