Date,Open,High,Low,Close,Volume
2025-10-12,97.71,98.94,96.99,98.34,9935
2025-10-13,96.0,97.21,95.55,96.53,4582
2025-10-14,95.86,97.44,95.31,96.61,7873
2025-10-15,103.03,104.48,102.2,103.66,1106
2025-10-16,102.3,103.69,101.89,103.03,6514
2025-10-17,98.03,99.25,97.41,98.57,6635
2025-10-18,88.48,89.94,87.92,89.25,7201
2025-10-19,82.2,83.18,81.56,82.64,6925
2025-10-20,74.74,75.6,74.28,75.14,2307
2025-10-21,70.58,71.91,70.4,71.25,8428
2025-10-22,67.53,68.41,67.22,68.0,2169
2025-10-23,64.01,64.9,63.64,64.52,3677
2025-10-24,60.44,61.54,60.35,61.02,6313
2025-10-25,60.65,61.76,60.54,61.22,1525
2025-10-26,61.66,62.58,61.19,61.99,6155
2025-10-27,57.6,58.38,57.11,57.95,8517
2025-10-28,58.16,59.13,57.87,58.67,8019
2025-10-29,59.15,60.13,59.05,59.71,3266
2025-10-30,57.37,58.0,56.92,57.68,7916
2025-10-31,56.67,57.52,56.38,57.12,8668
2025-11-01,47.25,47.94,47.05,47.7,9797
2025-11-02,45.53,46.33,45.39,45.93,5808
2025-11-03,42.36,43.18,42.3,42.78,9201
2025-11-04,43.18,43.89,43.1,43.56,5889
2025-11-05,44.64,45.22,44.42,44.91,9689
2025-11-06,41.46,42.2,41.34,41.86,2832
2025-11-07,45.76,46.48,45.71,46.18,2290
2025-11-08,43.12,43.68,42.91,43.36,9727
2025-11-09,42.83,43.48,42.66,43.15,7932
2025-11-10,41.05,41.85,40.88,41.45,4295
2025-11-11,40.2,40.82,39.95,40.54,8397
2025-11-12,37.62,38.06,37.39,37.83,4770
2025-11-13,36.98,37.49,36.91,37.29,1514
2025-11-14,36.51,37.05,36.44,36.85,8953
2025-11-15,36.47,37.11,36.37,36.82,8749
2025-11-16,37.33,37.9,37.28,37.67,8062
2025-11-17,35.62,36.15,35.48,35.96,2612
2025-11-18,37.23,37.75,36.9,37.43,2790
2025-11-19,36.87,37.41,36.72,37.14,5092
2025-11-20,37.93,38.5,37.75,38.29,2604
2025-11-21,45.86,46.75,45.61,46.29,4872
2025-11-22,48.94,49.59,48.68,49.22,7570
2025-11-23,50.03,50.63,49.54,50.28,8454
2025-11-24,48.52,49.25,48.17,48.83,8973
2025-11-25,49.34,50.22,49.19,49.83,6138
2025-11-26,51.23,51.91,50.86,51.5,9701
2025-11-27,55.11,55.74,54.69,55.41,4853
2025-11-28,61.6,62.64,61.24,62.04,1651
2025-11-29,58.24,59.15,57.84,58.7,4346
2025-11-30,55.26,56.1,55.1,55.73,3144
2025-12-01,53.59,54.42,53.39,53.95,8508
2025-12-02,50.69,51.51,50.57,51.11,9808
2025-12-03,50.76,51.73,50.51,51.25,7054
2025-12-04,52.85,53.57,52.52,53.19,5956
2025-12-05,45.19,45.8,44.93,45.57,5905
2025-12-06,39.6,40.21,39.42,39.99,5333
2025-12-07,40.21,40.78,40.0,40.53,6617
2025-12-08,40.72,41.3,40.5,40.97,9004
2025-12-09,40.39,40.93,40.03,40.6,1722
2025-12-10,45.37,46.01,45.0,45.6,5291
2025-12-11,46.4,47.16,46.3,46.8,3442
2025-12-12,48.62,49.45,48.36,49.0,3426
2025-12-13,47.5,48.29,47.12,47.83,1653
2025-12-14,47.35,48.09,47.27,47.8,2684
2025-12-15,44.77,45.64,44.57,45.19,4878
2025-12-16,47.15,48.06,46.93,47.59,7755
2025-12-17,51.48,52.32,51.1,51.82,5065
2025-12-18,51.86,52.66,51.64,52.19,1634
2025-12-19,52.69,53.57,52.56,53.18,4728
2025-12-20,50.68,51.42,50.38,51.0,5564
2025-12-21,55.49,56.3,55.18,55.85,9785
2025-12-22,48.49,49.06,48.11,48.81,5279
2025-12-23,51.35,51.97,51.05,51.68,6139
2025-12-24,58.01,59.01,57.81,58.43,4114
2025-12-25,57.51,58.35,57.06,57.8,4228
2025-12-26,62.35,63.11,61.94,62.78,6409
2025-12-27,57.97,58.85,57.57,58.3,7691
2025-12-28,53.87,54.69,53.53,54.23,4143
2025-12-29,46.62,47.46,46.4,47.01,5930
2025-12-30,49.5,50.3,49.27,49.85,4443
2025-12-31,45.5,46.22,45.32,45.88,4501
2026-01-01,46.71,47.49,46.37,47.06,3780
2026-01-02,45.06,45.8,44.96,45.44,4848
2026-01-03,42.84,43.47,42.73,43.2,1400
2026-01-04,49.59,50.44,49.38,49.99,4185
2026-01-05,51.62,52.42,51.44,52.06,3417
2026-01-06,51.01,51.92,50.92,51.46,7965
2026-01-07,50.47,51.24,50.1,50.78,8611
2026-01-08,52.08,52.95,51.83,52.57,9702
2026-01-09,52.36,53.31,52.11,52.89,8251
2026-01-10,50.36,51.2,50.09,50.74,3607
2026-01-11,48.78,49.57,48.65,49.21,5050
2026-01-12,51.59,52.44,51.47,52.05,8206
2026-01-13,51.32,51.93,51.01,51.59,6238
2026-01-14,53.93,54.61,53.65,54.24,4505
2026-01-15,48.38,48.98,48.02,48.63,7812
2026-01-16,49.11,49.89,48.73,49.46,1320
2026-01-17,46.81,47.66,46.68,47.25,1096
2026-01-18,45.01,45.75,44.68,45.32,9818
2026-01-19,40.17,40.84,40.0,40.53,4613
