Date,Open,High,Low,Close,Volume
2025-10-12,99.22,100.47,98.49,99.86,9935
2025-10-13,99.14,100.39,98.67,99.68,4582
2025-10-14,99.05,100.69,98.48,99.83,7873
2025-10-15,100.56,101.98,99.76,101.18,1106
2025-10-16,100.49,101.86,100.09,101.21,6514
2025-10-17,100.06,101.31,99.43,100.61,6635
2025-10-18,98.31,99.92,97.69,99.16,7201
2025-10-19,97.54,98.71,96.78,98.07,6925
2025-10-20,96.21,97.31,95.61,96.72,2307
2025-10-21,95.12,96.91,94.87,96.01,8428
2025-10-22,94.76,95.99,94.33,95.41,2169
2025-10-23,93.96,95.28,93.43,94.73,3677
2025-10-24,93.09,94.79,92.95,94.0,6313
2025-10-25,93.3,95.01,93.12,94.17,1525
2025-10-26,93.99,95.4,93.28,94.49,6155
2025-10-27,93.03,94.3,92.24,93.59,8517
2025-10-28,93.09,94.64,92.62,93.91,8019
2025-10-29,93.42,94.98,93.27,94.32,3266
2025-10-30,93.41,94.43,92.67,93.91,7916
2025-10-31,93.13,94.53,92.66,93.88,8668
2025-11-01,90.57,91.89,90.18,91.42,9797
2025-11-02,90.18,91.79,89.92,90.98,5808
2025-11-03,89.18,90.91,89.04,90.06,9201
2025-11-04,89.66,91.14,89.51,90.46,5889
2025-11-05,90.5,91.67,90.06,91.04,9689
2025-11-06,89.27,90.86,89.01,90.14,2832
2025-11-07,90.97,92.41,90.86,91.81,2290
2025-11-08,90.5,91.67,90.05,90.99,9727
2025-11-09,90.37,91.75,90.01,91.04,7932
2025-11-10,89.68,91.44,89.32,90.57,4295
2025-11-11,89.6,90.98,89.05,90.36,8397
2025-11-12,88.97,90.02,88.42,89.47,4770
2025-11-13,88.61,89.85,88.45,89.38,1514
2025-11-14,88.49,89.8,88.32,89.32,8953
2025-11-15,88.56,90.13,88.32,89.43,8749
2025-11-16,89.08,90.43,88.95,89.89,8062
2025-11-17,88.49,89.8,88.14,89.33,2612
2025-11-18,89.58,90.83,88.79,90.06,2790
2025-11-19,89.41,90.7,89.03,90.06,5092
2025-11-20,89.8,91.13,89.37,90.65,2604
2025-11-21,93.06,94.85,92.55,93.92,4872
2025-11-22,94.48,95.74,93.99,95.04,7570
2025-11-23,95.03,96.17,94.11,95.51,8454
2025-11-24,94.56,95.98,93.88,95.18,8973
2025-11-25,94.68,96.38,94.41,95.63,6138
2025-11-26,95.78,97.05,95.08,96.29,9701
2025-11-27,97.11,98.21,96.37,97.63,4853
2025-11-28,99.01,100.68,98.43,99.71,1651
2025-11-29,98.17,99.7,97.5,98.95,4346
2025-11-30,97.43,98.89,97.13,98.25,3144
2025-12-01,97.21,98.71,96.84,97.86,8508
2025-12-02,96.34,97.89,96.11,97.13,9808
2025-12-03,96.36,98.22,95.9,97.3,7054
2025-12-04,97.42,98.75,96.8,98.05,5956
2025-12-05,95.04,96.32,94.48,95.83,5905
2025-12-06,93.1,94.53,92.65,94.01,5333
2025-12-07,93.61,94.94,93.11,94.34,6617
2025-12-08,94.07,95.41,93.57,94.64,9004
2025-12-09,94.13,95.4,93.29,94.62,1722
2025-12-10,96.21,97.55,95.42,96.69,5291
2025-12-11,96.41,98.0,96.22,97.24,3442
2025-12-12,97.38,99.04,96.87,98.14,3426
2025-12-13,97.21,98.82,96.42,97.88,1653
2025-12-14,97.07,98.59,96.9,98.0,2684
2025-12-15,96.33,98.2,95.9,97.24,4878
2025-12-16,97.31,99.2,96.85,98.23,7755
2025-12-17,99.15,100.78,98.41,99.81,5065
2025-12-18,99.43,100.96,99.01,100.07,1634
2025-12-19,99.6,101.25,99.35,100.51,4728
2025-12-20,99.35,100.79,98.76,99.96,5564
2025-12-21,101.03,102.51,100.46,101.68,9785
2025-12-22,99.02,100.19,98.25,99.68,5279
2025-12-23,100.15,101.35,99.56,100.79,6139
2025-12-24,102.37,104.14,102.02,103.11,4114
2025-12-25,102.55,104.06,101.76,103.07,4228
2025-12-26,103.97,105.25,103.29,104.69,6409
2025-12-27,103.0,104.56,102.28,103.58,7691
2025-12-28,101.83,103.38,101.2,102.51,4143
2025-12-29,99.53,101.33,99.06,100.38,5930
2025-12-30,100.8,102.45,100.35,101.52,4443
2025-12-31,99.48,101.04,99.08,100.31,4501
2026-01-01,100.11,101.78,99.38,100.87,3780
2026-01-02,99.59,101.24,99.37,100.43,4848
2026-01-03,98.9,100.35,98.64,99.74,1400
2026-01-04,101.66,103.39,101.22,102.48,4185
2026-01-05,102.44,104.04,102.09,103.33,3417
2026-01-06,102.36,104.18,102.18,103.27,7965
2026-01-07,102.55,104.11,101.78,103.17,8611
2026-01-08,102.96,104.67,102.46,103.92,9702
2026-01-09,103.13,104.99,102.62,104.16,8251
2026-01-10,102.13,103.84,101.59,102.9,3607
2026-01-11,100.95,102.58,100.68,101.83,5050
2026-01-12,101.36,103.03,101.13,102.27,8206
2026-01-13,101.03,102.23,100.42,101.58,6238
2026-01-14,101.32,102.61,100.81,101.9,4505
2026-01-15,101.1,102.36,100.35,101.64,7812
2026-01-16,102.7,104.33,101.9,103.42,1320
2026-01-17,103.2,105.09,102.93,104.17,1096
2026-01-18,104.26,105.98,103.5,104.99,9818
2026-01-19,103.76,105.48,103.31,104.68,4613
