Date,Open,High,Low,Close,Volume
2025-10-12,99.87,101.13,99.14,100.51,9935
2025-10-13,100.42,101.69,99.94,100.97,4582
2025-10-14,101.28,102.95,100.7,102.07,7873
2025-10-15,105.0,106.49,104.16,105.65,1106
2025-10-16,105.8,107.24,105.38,106.56,6514
2025-10-17,105.57,106.89,104.9,106.16,6635
2025-10-18,103.04,104.74,102.4,103.94,7201
2025-10-19,101.93,103.15,101.14,102.49,6925
2025-10-20,99.95,101.09,99.33,100.48,2307
2025-10-21,98.89,100.75,98.63,99.82,8428
2025-10-22,98.68,99.96,98.24,99.36,2169
2025-10-23,97.94,99.31,97.38,98.73,3677
2025-10-24,97.06,98.83,96.91,98.0,6313
2025-10-25,98.23,100.03,98.04,99.15,1525
2025-10-26,100.09,101.58,99.33,100.62,6155
2025-10-27,98.91,100.26,98.07,99.51,8517
2025-10-28,100.11,101.76,99.6,100.99,8019
2025-10-29,101.69,103.38,101.52,102.66,3266
2025-10-30,102.05,103.16,101.24,102.59,7916
2025-10-31,102.53,104.07,102.01,103.35,8668
2025-11-01,97.85,99.27,97.43,98.77,9797
2025-11-02,97.74,99.48,97.45,98.6,5808
2025-11-03,96.45,98.32,96.3,97.4,9201
2025-11-04,98.16,99.78,97.99,99.04,5889
2025-11-05,100.51,101.81,100.02,101.11,9689
2025-11-06,98.94,100.7,98.66,99.9,2832
2025-11-07,103.45,105.09,103.33,104.41,2290
2025-11-08,102.83,104.16,102.32,103.39,9727
2025-11-09,103.56,105.14,103.15,104.33,7932
2025-11-10,103.05,105.08,102.64,104.07,4295
2025-11-11,103.55,105.14,102.91,104.42,8397
2025-11-12,102.63,103.84,102.0,103.21,4770
2025-11-13,102.93,104.37,102.75,103.82,1514
2025-11-14,103.55,105.08,103.35,104.52,8953
2025-11-15,104.58,106.43,104.3,105.6,8749
2025-11-16,106.57,108.19,106.42,107.55,8062
2025-11-17,106.06,107.62,105.64,107.06,2612
2025-11-18,109.08,110.61,108.13,109.66,2790
2025-11-19,109.75,111.34,109.29,110.55,5092
2025-11-20,111.81,113.48,111.29,112.87,2604
2025-11-21,120.81,123.13,120.15,121.93,4872
2025-11-22,125.08,126.74,124.42,125.81,7570
2025-11-23,127.41,128.94,126.18,128.05,8454
2025-11-24,127.37,129.28,126.44,128.19,8973
2025-11-25,129.14,131.46,128.77,130.43,6138
2025-11-26,132.58,134.34,131.61,133.28,9701
2025-11-27,137.33,138.89,136.28,138.07,4853
2025-11-28,144.03,146.46,143.19,145.05,1651
2025-11-29,142.86,145.09,141.88,144.0,4346
2025-11-30,141.91,144.04,141.48,143.1,3144
2025-12-01,142.16,144.36,141.62,143.11,8508
2025-12-02,140.97,143.23,140.63,142.12,9808
2025-12-03,142.38,145.12,141.7,143.77,7054
2025-12-04,146.17,148.17,145.25,147.12,5956
2025-12-05,140.49,142.37,139.66,141.66,5905
2025-12-06,136.06,138.15,135.41,137.39,5333
2025-12-07,138.38,140.35,137.65,139.47,6617
2025-12-08,140.61,142.62,139.86,141.46,9004
2025-12-09,141.8,143.72,140.53,142.55,1722
2025-12-10,149.17,151.25,147.94,149.92,5291
2025-12-11,151.53,154.02,151.21,152.83,3442
2025-12-12,155.64,158.29,154.83,156.86,3426
2025-12-13,156.21,158.8,154.94,157.28,1653
2025-12-14,157.42,159.89,157.14,158.93,2684
2025-12-15,156.26,159.29,155.57,157.73,4878
2025-12-16,160.7,163.81,159.93,162.21,7755
2025-12-17,167.62,170.37,166.38,168.74,5065
2025-12-18,169.86,172.48,169.15,170.95,1634
2025-12-19,172.27,175.11,171.84,173.84,4728
2025-12-20,172.26,174.76,171.24,173.32,5564
2025-12-21,179.51,182.15,178.5,180.66,9785
2025-12-22,173.84,175.91,172.49,175.01,5279
2025-12-23,179.16,181.3,178.11,180.3,6139
2025-12-24,188.71,191.96,188.06,190.07,4114
2025-12-25,190.46,193.26,188.98,191.41,4228
2025-12-26,197.6,200.02,196.31,198.96,6409
2025-12-27,195.24,198.21,193.89,196.35,7691
2025-12-28,192.58,195.51,191.39,193.87,4143
2025-12-29,185.77,189.12,184.89,187.34,5930
2025-12-30,191.74,194.87,190.88,193.1,4443
2025-12-31,188.47,191.44,187.72,190.05,4501
2026-01-01,192.24,195.44,190.83,193.7,3780
2026-01-02,191.92,195.1,191.51,193.53,4848
2026-01-03,190.82,193.6,190.31,192.43,1400
2026-01-04,202.92,206.37,202.05,204.56,4185
2026-01-05,207.77,211.02,207.05,209.57,3417
2026-01-06,209.15,212.87,208.78,211.0,7965
2026-01-07,211.02,214.23,209.45,212.32,8611
2026-01-08,215.06,218.65,214.03,217.07,9702
2026-01-09,217.64,221.58,216.58,219.83,8251
2026-01-10,214.63,218.24,213.51,216.26,3607
2026-01-11,211.65,215.08,211.1,213.51,5050
2026-01-12,215.13,218.67,214.63,217.06,8206
2026-01-13,214.68,217.23,213.39,215.84,6238
2026-01-14,217.69,220.46,216.59,218.95,4505
2026-01-15,218.42,221.13,216.79,219.58,7812
2026-01-16,227.43,231.05,225.65,229.02,1320
2026-01-17,231.98,236.22,231.37,234.16,1096
2026-01-18,238.06,241.99,236.32,239.72,9818
2026-01-19,238.12,242.08,237.09,240.22,4613
